Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
VASCO;15.09.2013;VDSI;$11.92;;1
Sourcefire;16.09.2013;FIRE;$7.60;;1
Symantec;16.09.2013;SYMC;$20.12;;1
VASCO;16.09.2013;VDSI;$12.43;;1
Sourcefire;17.09.2013;FIRE;$7.11;;1
Symantec;17.09.2013;SYMC;$19.52;;1
VASCO;17.09.2013;VDSI;$11.66;;1
Sourcefire;18.09.2013;FIRE;$7.50;;1
Symantec;18.09.2013;SYMC;$19.40;;1
VASCO;18.09.2013;VDSI;$12.39;;1
Sourcefire;19.09.2013;FIRE;$7.69;;1
Symantec;19.09.2013;SYMC;$19.88;;1
VASCO;19.09.2013;VDSI;$13.00;;1
Sourcefire;22.09.2013;FIRE;$7.50;;1
Symantec;22.09.2013;SYMC;$19.40;;1
VASCO;22.09.2013;VDSI;$12.06;;1
Sourcefire;23.09.2013;FIRE;$7.40;;1
Symantec;23.09.2013;SYMC;$19.50;;1
VASCO;23.09.2013;VDSI;$11.42;;1
Sourcefire;24.09.2013;FIRE;$7.21;;1
Symantec;24.09.2013;SYMC;$19.63;;1
VASCO;24.09.2013;VDSI;$11.07;;1
Sourcefire;25.09.2013;FIRE;$7.32;;1
Symantec;25.09.2013;SYMC;$19.66;;1
VASCO;25.09.2013;VDSI;$11.27;;1
Sourcefire;26.09.2013;FIRE;$7.39;;1
Symantec;26.09.2013;SYMC;$19.80;;1
VASCO;26.09.2013;VDSI;$11.38;;1
Sourcefire;29.09.2013;FIRE;$6.99;;1
Symantec;29.09.2013;SYMC;$18.62;;1
VASCO;29.09.2013;VDSI;$10.00;;1
Sourcefire;30.09.2013;FIRE;$7.29;;1
Symantec;30.09.2013;SYMC;$19.58;;1
VASCO;30.09.2013;VDSI;$10.36;;1
Sourcefire;01.10.2013;FIRE;$7.28;;1
Symantec;01.10.2013;SYMC;$18.94;;1
VASCO;01.10.2013;VDSI;$9.99;;1
Sourcefire;02.10.2013;FIRE;$7.00;;1
Symantec;02.10.2013;SYMC;$17.83;;1
VASCO;02.10.2013;VDSI;$9.16;;1
Sourcefire;03.10.2013;FIRE;$6.96;;1
Symantec;03.10.2013;SYMC;$16.95;;1
VASCO;03.10.2013;VDSI;$8.66;;1
Sourcefire;06.10.2013;FIRE;$5.97;;1
Symantec;06.10.2013;SYMC;$16.41;;1
VASCO;06.10.2013;VDSI;$7.90;;1
Sourcefire;07.10.2013;FIRE;$5.63;;1
Symantec;07.10.2013;SYMC;$15.00;;1
VASCO;07.10.2013;VDSI;$7.21;;1
Sourcefire;08.10.2013;FIRE;$5.46;;1
Symantec;08.10.2013;SYMC;$14.69;;1
VASCO;08.10.2013;VDSI;$7.19;;1
Sourcefire;09.10.2013;FIRE;$5.24;;1
Symantec;09.10.2013;SYMC;$13.90;;1
VASCO;09.10.2013;VDSI;$6.64;;1
Sourcefire;10.10.2013;FIRE;$5.36;;1
Symantec;10.10.2013;SYMC;$13.67;;1
VASCO;10.10.2013;VDSI;$6.99;;1
Sourcefire;13.10.2013;FIRE;$6.45;;1
Symantec;13.10.2013;SYMC;$15.28;;1
